aten_op,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::scaled_dot_product_attention,2388,412067.3,27.42,172.56
aten::addmm,9552,363093.5,24.16,38.01
aten::cat,5373,248566.3,16.54,46.26
aten::linear,199,117584.7,7.82,590.88
aten::mul,9953,88394.8,5.88,8.88
aten::add,10349,87555.0,5.83,8.46
aten::native_layer_norm,4975,41721.6,2.78,8.39
aten::where,796,27571.3,1.83,34.64
aten::clone,796,20710.3,1.38,26.02
aten::pow,2388,18034.8,1.20,7.55
aten::tanh,2388,16037.1,1.07,6.72
aten::all,199,15054.6,1.00,75.65
aten::_to_copy,402,12838.1,0.85,31.94
aten::argmax,199,8240.4,0.55,41.41
aten::isin,600,4064.9,0.27,6.77
aten::arange,597,2957.4,0.20,4.95
aten::eq,201,2062.2,0.14,10.26
aten::bitwise_or,398,1974.4,0.13,4.96
aten::scalar_tensor,398,1952.5,0.13,4.91
aten::sub,200,1946.4,0.13,9.73
aten::bitwise_and,199,1939.0,0.13,9.74
aten::full,398,1931.6,0.13,4.85
aten::embedding,398,1813.6,0.12,4.56
aten::_local_scalar_dense,401,1598.2,0.11,3.99
aten::bitwise_not,201,995.4,0.07,4.95
aten::max,199,954.3,0.06,4.80
aten::new_ones,199,945.1,0.06,4.75
aten::any,4,24.3,0.00,6.07
aten::masked_fill,1,14.1,0.00,14.15
aten::sum,1,7.4,0.00,7.42
aten::lt,1,7.1,0.00,7.09
aten::gt,1,6.8,0.00,6.77
aten::cumsum,1,6.6,0.00,6.57
aten::ones,2,5.3,0.00,2.64
aten::ne,1,4.7,0.00,4.69
